tabledata1,tabledata2,tabledata3,tabledata4,tabledata5,tabledata6,tabledata7,tabledata8,tabledata9,tabledata10,tabledata11,tabledata12,tabledata13,tabledata14,tabledata15,tabledata16,tabledata17,tabledata18,tabledata19,tabledata20,tabledata21,tabledata22,tabledata23,tabledata24,tabledata25,tabledata26,tabledata27,tabledata28,tabledata29,tabledata30,tabledata31,tabledata32,tabledata33,tabledata34,tabledata35,tabledata36,tabledata37,tabledata38,tabledata39,tabledata40,tabledata41,tabledata42,tabledata43,tabledata44,tabledata45,tabledata46,tabledata47,tabledata48,tabledata49,tabledata50,tabledata51,tabledata52,tabledata53,tabledata54,tabledata55,tabledata56,tabledata57,tabledata58,tabledata59,tabledata60,tabledata61,tabledata62,tabledata63,tabledata64,tabledata65,tabledata66,tabledata67,tabledata68,tabledata69,tabledata70,tabledata71,tabledata72,tabledata73,tabledata74,tabledata75,tabledata76,tabledata77,tabledata78,tabledata79,tabledata80,tabledata81,tabledata82,tabledata83,tabledata84,tabledata85,tabledata86,tabledata87,tabledata88,tabledata89,tabledata90,tabledata91,tabledata92,tabledata93,tabledata94,tabledata95,tabledata96,tabledata97,tabledata98,tabledata99,tabledata100,tabledata101,tabledata102,tabledata103
0,0,1,2,1,11,46.13033712,3.3958126,1.000000021,7.032920882,6.227758674,5.983957772,3.028213691,2.734618443,2.694518412,4.079960759,3.681382519,11,-45.13033712,-2.161579138,-2.06E-08,-0.893911238,-0.81767432,-0.944799,-1.032575301,-1.033133351,-1.058897356,-1.070741589,-0.915413701,55,0.004925486,0.013819358,-0.00787114,0.144123127,0.525842263,0.110526469,-0.642418284,-0.393196654,-1.219686067,0.240038747,0.855773817,-0.219392464,0.478930916,-0.211299371,-0.518153551,-0.491008912,0.674176346,-0.042775277,1.014419706,0.437406367,0.264035324,-0.290349693,0.001585312,-0.006401819,-0.016456398,0.109445645,0.43721003,0.255262057,-0.025618088,-0.315395343,-1.483383784,0.910874317,0.759307443,0.004131521,0.031716884,-0.046813484,0.069954701,0.824345855,0.358265447,-0.817168181,-0.882597728,-1.984696471,0.564923758,0.794511349,-0.025995281,0.048112503,-0.024509143,-0.500330802,0.169386804,-0.385419906,-2.158754475,-0.163786472,1.817848211,-1.265059873,-0.239986491,5,2.266699467,0.899366315,0.660196739,0.563439698,-2.193773657,5,0.52201696,0.056721541,-0.979165416,0.499035074,-0.578967815,1,-1.508044226,1,0.539519264,1,-1.000129852
0,0,2,2,1,11,46.13033712,3.3958126,1.000000021,7.032920882,6.227758674,5.983957772,3.028213691,2.734618443,2.694518412,4.079960759,3.681382519,11,-45.13033712,-2.161579138,-2.06E-08,-0.893911238,-0.81767432,-0.944799,-1.032575301,-1.033133351,-1.058897356,-1.070741589,-0.915413701,55,-0.565960408,-0.558141781,0.179164268,-0.152858034,-0.797845144,0.739285871,0.116030402,-0.1743853,0.461746552,-0.360417617,0.418356611,-0.267218522,0.446869248,0.350720041,-0.57323317,0.313243396,0.658538988,-0.319245967,-0.446324282,-0.516102162,0.562337223,0.180076711,0.410308544,0.039921154,0.666519255,0.68988267,-0.074392888,0.1770054,-0.043083562,-0.726732578,-0.653387587,0.110091434,-0.323582546,-1.094045674,-0.467652608,0.052224127,-0.635501505,-0.471718564,0.372030065,-0.486213247,-0.050670175,-0.372732091,-0.101061045,-0.147710427,-0.094561413,0.07606473,0.01912392,-0.413526614,0.376669815,0.794949863,0.530719235,0.62599688,-0.01217144,0.678733139,-0.659882417,5,1.724427009,0.954017226,0.081698308,-0.811047607,-1.676347241,5,-0.972656019,-0.040698383,-0.080741697,0.096926945,0.315931635,1,0.78804776,1,12.94004029,1,-1.000759257
0,0,3,2,1,11,46.13033712,3.3958126,1.000000021,7.032920882,6.227758674,5.983957772,3.028213691,2.734618443,2.694518412,4.079960759,3.681382519,11,-45.13033712,-2.161579138,-2.06E-08,-0.893911238,-0.81767432,-0.944799,-1.032575301,-1.033133351,-1.058897356,-1.070741589,-0.915413701,55,-0.577712458,0.427526883,0.858958684,-0.037140259,0.384627062,0.004267687,0.07816945,-0.813449002,0.466461925,-0.715429164,0.415121281,-0.075559278,-0.465122775,0.560429928,-0.631660952,-0.70774383,0.197085927,-0.121878651,0.149458514,0.649443903,-0.455686226,0.606539099,-0.645702067,0.339420393,-0.701083301,0.44357832,-0.43016757,0.323862488,0.245474387,0.469384966,-0.573373544,-0.200903524,-0.340257032,0.365304156,-0.352878163,-0.689434747,0.099944083,0.223098954,-0.690067476,-0.539783288,0.065450175,-0.810074323,-0.436233962,-0.529353064,0.795087486,0.330940185,0.456252721,-0.180743413,0.739868794,-0.292848593,-0.746270539,0.258283708,0.260051823,0.428462222,0.268864587,5,1.387004157,0.868115032,-0.409215741,0.600818758,1.626213906,5,0.277433882,-0.205079683,0.104440465,0.055663913,-0.263334325,1,-0.22465906,1,13.71579312,1,-1.000845463
0,0,4,2,1,11,46.13033712,3.3958126,1.000000021,7.032920882,6.227758674,5.983957772,3.028213691,2.734618443,2.694518412,4.079960759,3.681382519,11,-45.13033712,-2.161579138,-2.06E-08,-0.893911238,-0.81767432,-0.944799,-1.032575301,-1.033133351,-1.058897356,-1.070741589,-0.915413701,55,-0.012136165,-0.131139736,0.008966042,0.354122277,-0.385451337,0.727124443,0.559242109,0.634940207,0.369509724,0.195213525,-0.110089525,0.033977633,0.136542906,0.007512509,-0.931759946,0.198531188,-1.492824925,-1.265701273,1.294272656,1.471610159,-0.863526821,-0.332124318,0.114464774,0.498002102,-0.053526594,-0.072535226,0.932797455,-0.43410558,-0.176413648,-0.519804298,-0.507592186,0.820660465,0.64291048,0.030889967,0.208475237,-0.046094317,-0.706118569,0.8883724,-0.93885474,-0.875920332,-1.986063487,-1.218685681,0.012693563,0.217512111,0.005499405,-0.010726444,0.027978468,0.027566251,-0.437359742,-0.242314001,-0.387812826,0.142874098,0.256446789,-1.209532595,-0.533706224,5,1.402975249,-1.026943282,0.746907243,-2.904123372,-2.189297677,5,-0.624827091,0.280259145,-0.079619746,-0.499695516,-0.386012766,1,-0.835314222,1,0.013615923,1,-1.000298853
0,0,5,2,1,11,46.13033712,3.3958126,1.000000021,7.032920882,6.227758674,5.983957772,3.028213691,2.734618443,2.694518412,4.079960759,3.681382519,11,-45.13033712,-2.161579138,-2.06E-08,-0.893911238,-0.81767432,-0.944799,-1.032575301,-1.033133351,-1.058897356,-1.070741589,-0.915413701,55,-0.231987493,0.398220488,0.108202682,0.378577915,-0.594907107,-0.331978244,-1.027051467,0.502185591,0.162817643,0.135600934,-0.66258483,-0.170639851,0.887762491,0.048861856,0.445362466,0.389997455,-0.179270469,-0.532888842,0.795566693,-0.012140962,-0.619035836,0.334626246,-0.008807182,0.14845069,0.651272391,-0.133350537,-0.786048002,-0.268733629,-0.338536269,0.710107879,-0.247314298,-0.464933015,-0.733242428,-0.43001633,0.589310991,-0.568187747,-0.379566095,0.549395913,-0.357684966,-0.769498162,-0.263709462,-0.150422155,0.284102882,-0.498716002,-0.651989179,0.682287538,0.579462234,-0.315727562,0.235524712,-0.13451802,0.737904365,-0.146514657,-0.312674271,0.108120249,-0.650138182,5,1.627153249,0.82140349,0.145569012,-0.875669952,-1.658844946,5,-0.222521665,-0.11726155,-0.121159044,0.054696765,-0.031238911,1,-0.317743935,1,9.570096801,1,-1.000041962
0,0,6,2,1,11,46.13033712,3.3958126,1.000000021,7.032920882,6.227758674,5.983957772,3.028213691,2.734618443,2.694518412,4.079960759,3.681382519,11,-45.13033712,-2.161579138,-2.06E-08,-0.893911238,-0.81767432,-0.944799,-1.032575301,-1.033133351,-1.058897356,-1.070741589,-0.915413701,55,-0.611371006,-0.04280174,-0.819100629,-0.470370186,-0.127778686,0.323178773,-0.695774538,0.200844932,0.813406605,-0.010147694,0.137980677,0.186020643,-0.653472347,0.224310857,0.645431946,-0.68346697,0.506212284,0.134432096,-0.667497854,-0.238533089,-0.063620231,-0.676374296,-0.670802922,0.36918018,0.177605098,0.281705587,0.423524346,0.817429268,0.426361992,0.664915181,0.470721858,-0.088561588,0.191439137,0.236516961,0.565255259,-0.261429444,-0.563723595,0.433969456,0.945126243,-0.110443217,-0.45196688,-0.389574224,0.005610184,-0.406524732,0.638346053,-0.348623494,-0.117935989,0.586122068,-0.187628848,-0.002329645,0.205866362,0.181902382,-0.546909165,-0.69872872,1.01808263,5,1.641482975,-0.686587944,-0.227026503,1.056862041,1.497081146,5,-0.413587601,-0.354808484,0.232289188,-0.685051654,0.720435705,1,-0.175402776,1,19.20433342,1,-1.000634447
0,0,7,2,1,11,46.13033712,3.3958126,1.000000021,7.032920882,6.227758674,5.983957772,3.028213691,2.734618443,2.694518412,4.079960759,3.681382519,11,-45.13033712,-2.161579138,-2.06E-08,-0.893911238,-0.81767432,-0.944799,-1.032575301,-1.033133351,-1.058897356,-1.070741589,-0.915413701,55,0.135463403,0.38931255,-0.084318828,0.287513948,-0.628467966,-0.53335602,-0.76289678,-0.314698673,-0.776518973,-0.460388057,0.560673076,-0.132361161,-0.315776055,0.336870576,-0.770375699,0.10786063,0.834985893,-0.490327989,0.051565576,-0.346396592,0.245651142,0.88315141,-0.82436329,-0.061692265,-0.116916893,0.086845521,-0.569674074,-0.693495064,-0.660355745,0.170059605,0.017544299,-0.778973719,-0.095878365,-0.71984943,-0.093356379,0.475328946,-0.415924535,-0.159479476,-0.031157695,-0.36335371,-0.289428192,0.765475418,-0.514156469,-0.452112104,-0.031028771,0.142392783,0.149982066,0.383372349,-0.044092232,-0.764902319,0.51245931,0.835067333,-0.65229194,-0.501010617,-0.566525892,5,-1.554618154,0.664084504,0.194377019,-1.035032697,-1.527644656,5,0.003867903,-0.245731872,-0.342726213,0.375477869,-0.004091517,1,-0.17148651,1,10.51756102,1,-1.00015711
