domain
1111
1211
2111
2121
2211
2212
2221
2222
2322
3111
3121
3211
3212
3221
3222
3232
3311
3321
3322
3332
4111
4121
4122
4211
4212
4221
4222
4232
4311
4321
4322
4332
4333
4421
4422
4432
4433
5111
5121
5122
5211
5212
5221
5222
5231
5232
5311
5321
5322
5332
5421
5422
6111
6121
6122
6211
6221
6222
6231
6232
6321
6322
6332
7111
7121
7211
7221
7222
7231
7232
7321
8111
8121
8211
8221
